r/R,c/R
0.1,    0.19685
0.131034, 0.192325
0.162069, 0.1878
0.193103, 0.183274
0.224138, 0.178749
0.255172, 0.174224
0.286207, 0.169699
0.317241, 0.165173
0.348276, 0.160648
0.37931,  0.156123
0.410345, 0.151598
0.441379, 0.147072
0.472414, 0.142547
0.503448, 0.138022
0.534483, 0.133496
0.565517, 0.128971
0.596552, 0.124446
0.627586, 0.119921
0.658621, 0.115395
0.689655, 0.110869
0.72069,  0.106344
0.751724, 0.101819
0.782759, 0.097294
0.813793, 0.0927684
0.844828, 0.0882434
0.875862, 0.0837178
0.906897, 0.0791929
0.937931, 0.0746673
0.968966, 0.0701424
1.0,    0.0656168

