r/R,twist (deg)
0.1,    30.0
0.131034, 29.3103
0.162069, 28.6207
0.193103, 27.931
0.224138, 27.2414
0.255172, 26.5517
0.286207, 25.8621
0.317241, 25.1724
0.348276, 24.4828
0.37931, 23.7931
0.410345, 23.1034
0.441379, 22.4138
0.472414, 21.7241
0.503448, 21.0345
0.534483, 20.3448
0.565517, 19.6552
0.596552, 18.9655
0.627586, 18.2759
0.658621, 17.5862
0.689655, 16.8966
0.72069, 16.2069
0.751724, 15.5172
0.782759, 14.8276
0.813793, 14.1379
0.844828, 13.4483
0.875862, 12.7586
0.906897, 12.069
0.937931, 11.3793
0.968966, 10.6897
1.0,    10.0
